time,x_2dot,x_dot,x,z_2dot,z_dot,z,slip_ratio,F_DP,F_z,h
0.191,0.1578,0.0376471,0.00353925,-0.149933,0.0133435,0.00454161,0.623529,1.02025,11.5092,0.00982756
0.192,0.156962,0.0378041,0.00357705,-0.148644,0.0131949,0.00455481,0.621959,1.01482,11.5008,0.00984076
0.193,0.156126,0.0379602,0.00361501,-0.147359,0.0130475,0.00456786,0.620398,1.0094,11.4925,0.00985381
0.194,0.155292,0.0381155,0.00365313,-0.146079,0.0129014,0.00458076,0.618845,1.00399,11.4842,0.00986671
0.195,0.15446,0.03827,0.0036914,-0.144803,0.0127566,0.00459351,0.6173,0.998599,11.476,0.00987946
0.196,0.153631,0.0384236,0.00372982,-0.143532,0.0126131,0.00460613,0.615764,0.993225,11.4677,0.00989208
0.197,0.152804,0.0385764,0.0037684,-0.142265,0.0124708,0.0046186,0.614236,0.987868,11.4595,0.00990455
0.198,0.15198,0.0387284,0.00380712,-0.141004,0.0123298,0.00463093,0.612716,0.982527,11.4514,0.00991688
0.199,0.151158,0.0388795,0.003846,-0.139748,0.0121901,0.00464312,0.611205,0.977442,11.4427,0.00992907
0.2,0.150376,0.0390299,0.00388503,-0.138421,0.0120516,0.00465517,0.609701,0.972134,11.4347,0.00994112
0.201,0.149559,0.0391795,0.00392421,-0.137178,0.0119145,0.00466708,0.608205,0.966845,11.4266,0.00995303
0.202,0.148745,0.0393282,0.00396354,-0.135941,0.0117785,0.00467886,0.606718,0.961574,11.4186,0.00996481
0.203,0.147934,0.0394761,0.00400302,-0.134709,0.0116438,0.00469051,0.605239,0.95655,11.4102,0.00997646
0.204,0.147162,0.0396233,0.00404264,-0.13341,0.0115104,0.00470202,0.603767,0.951315,11.4022,0.00998797
0.205,0.146356,0.0397697,0.00408241,-0.132192,0.0113782,0.0047134,0.602303,0.946099,11.3944,0.00999934
0.206,0.145554,0.0399152,0.00412233,-0.13098,0.0112472,0.00472464,0.600848,0.941124,11.3861,0.0100106
0.207,0.144788,0.04006,0.00416239,-0.129704,0.0111175,0.00473576,0.5994,0.935947,11.3783,0.0100217
0.208,0.143992,0.040204,0.00420259,-0.128506,0.010989,0.00474675,0.59796,0.931005,11.3701,0.0100327
0.209,0.143232,0.0403472,0.00424294,-0.127246,0.0108618,0.00475761,0.596528,0.925866,11.3624,0.0100436
0.21,0.142441,0.0404897,0.00428343,-0.126063,0.0107357,0.00476835,0.595103,0.92096,11.3543,0.0100543
0.211,0.141686,0.0406314,0.00432406,-0.124819,0.0106109,0.00477896,0.593686,0.915861,11.3467,0.0100649
0.212,0.140902,0.0407723,0.00436483,-0.123651,0.0104872,0.00478945,0.592277,0.91099,11.3388,0.0100754
0.213,0.140152,0.0409124,0.00440574,-0.122424,0.0103648,0.00479981,0.590876,0.906137,11.3308,0.0100858
0.214,0.139406,0.0410518,0.00444679,-0.121206,0.0102436,0.00481005,0.589482,0.901099,11.3234,0.010096
0.215,0.138631,0.0411904,0.00448798,-0.120062,0.0101236,0.00482018,0.588096,0.896282,11.3156,0.0101061
0.216,0.13789,0.0413283,0.00452931,-0.118861,0.0100047,0.00483018,0.586717,0.891484,11.3078,0.0101161
0.217,0.137151,0.0414655,0.00457078,-0.117669,0.00988703,0.00484007,0.585345,0.886508,11.3006,0.010126
0.218,0.136386,0.0416019,0.00461238,-0.116548,0.00977048,0.00484984,0.583981,0.881748,11.2929,0.0101358
0.219,0.135654,0.0417375,0.00465412,-0.115373,0.00965511,0.00485949,0.582625,0.877007,11.2853,0.0101454
0.22,0.134924,0.0418724,0.00469599,-0.114207,0.0095409,0.00486904,0.581276,0.872284,11.2778,0.010155
0.221,0.134198,0.0420066,0.004738,-0.113051,0.00942785,0.00487846,0.579934,0.86758,11.2704,0.0101644
0.222,0.133474,0.0421401,0.00478014,-0.111904,0.00931594,0.00488778,0.578599,0.862895,11.263,0.0101737
0.223,0.132753,0.0422729,0.00482241,-0.110767,0.00920518,0.00489698,0.577271,0.858047,11.256,0.0101829
0.224,0.132007,0.0424049,0.00486481,-0.109696,0.00909548,0.00490608,0.575951,0.853402,11.2487,0.010192
0.225,0.131293,0.0425362,0.00490735,-0.108575,0.0089869,0.00491507,0.574638,0.848777,11.2415,0.010201
0.226,0.130581,0.0426668,0.00495002,-0.107463,0.00887944,0.00492395,0.573332,0.844171,11.2343,0.0102099
0.227,0.129873,0.0427966,0.00499281,-0.106361,0.00877308,0.00493272,0.572034,0.839585,11.2272,0.0102187
0.228,0.129167,0.0429258,0.00503574,-0.105267,0.00866781,0.00494139,0.570742,0.835019,11.2202,0.0102273
